"Notes"	"Year"	"Year Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	226	98041633	0.2
	"2003"	"2003"	"Non-Injury: Anemias"	"GR113-045"	176	98041633	0.2
	"2003"	"2003"	"Non-Injury: Diabetes mellitus"	"GR113-046"	199	98041633	0.2
	"2003"	"2003"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	11	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Meningitis"	"GR113-050"	78	98041633	0.1
	"2003"	"2003"	"Non-Injury: Parkinsons disease"	"GR113-051"	1	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1583	98041633	1.6
	"2003"	"2003"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	26	98041633	0.0
	"2003"	"2003"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	336	98041633	0.3
	"2003"	"2003"	"Non-Injury: Atherosclerosis"	"GR113-071"	3	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	80	98041633	0.1
	"2003"	"2003"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	58	98041633	0.1
	"2003"	"2003"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	534	98041633	0.5
	"2003"	"2003"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	40	98041633	0.0
	"2003"	"2003"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	364	98041633	0.4
	"2003"	"2003"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	1	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	72	98041633	0.1
	"2003"	"2003"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	282	98041633	0.3
	"2003"	"2003"	"Non-Injury: Peptic ulcer"	"GR113-090"	11	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Diseases of appendix"	"GR113-091"	27	98041633	0.0
	"2003"	"2003"	"Non-Injury: Hernia"	"GR113-092"	15	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	16	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	5	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	131	98041633	0.1
	"2003"	"2003"	"Non-Injury: Infections of kidney"	"GR113-102"	13	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	7	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	11	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	106	98041633	0.1
	"2003"	"2003"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	114	98041633	0.1
	"2003"	"2003"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	1378	98041633	1.4
	"2003"	"2003"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	1271	98041633	1.3
	"2003"	"2003"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	3585	98041633	3.7
	"2003"	"2003"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	80	98041633	0.1
"Total"	"2003"	"2003"			45487	98041633	46.4
	"2004"	"2004"	"Cut/Pierce"	"GRINJ-001"	589	98585656	0.6
	"2004"	"2004"	"Drowning"	"GRINJ-002"	1353	98585656	1.4
	"2004"	"2004"	"Fall"	"GRINJ-003"	451	98585656	0.5
	"2004"	"2004"	"Fire/Flame"	"GRINJ-004"	751	98585656	0.8
	"2004"	"2004"	"Hot object/Substance"	"GRINJ-005"	7	98585656	Unreliable
	"2004"	"2004"	"Firearm"	"GRINJ-006"	6891	98585656	7.0
	"2004"	"2004"	"Machinery"	"GRINJ-007"	94	98585656	0.1
	"2004"	"2004"	"Motor Vehicle Traffic"	"GRINJ-008"	12783	98585656	13.0
	"2004"	"2004"	"Other Pedal cyclist"	"GRINJ-009"	45	98585656	0.0
	"2004"	"2004"	"Other Pedestrian"	"GRINJ-010"	288	98585656	0.3
	"2004"	"2004"	"Other land transport"	"GRINJ-011"	479	98585656	0.5
	"2004"	"2004"	"Other transport"	"GRINJ-012"	179	98585656	0.2
	"2004"	"2004"	"Natural/Environmental"	"GRINJ-013"	141	98585656	0.1
	"2004"	"2004"	"Poisoning"	"GRINJ-015"	3107	98585656	3.2
	"2004"	"2004"	"Struck by or against"	"GRINJ-016"	147	98585656	0.1
	"2004"	"2004"	"Suffocation"	"GRINJ-017"	2313	98585656	2.3
	"2004"	"2004"	"Other specified, classifiable Injury"	"GRINJ-018"	369	98585656	0.4
	"2004"	"2004"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	207	98585656	0.2
	"2004"	"2004"	"Unspecified Injury"	"GRINJ-020"	650	98585656	0.7
	"2004"	"2004"	"Non-Injury: Intestinal infections"	"GR113 001-003"	20	98585656	0.0
	"2004"	"2004"	"Non-Injury: Tuberculosis"	"GR113 005-006"	10	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Whooping cough"	"GR113-007"	1	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Meningococcal infection"	"GR113-009"	62	98585656	0.1
	"2004"	"2004"	"Non-Injury: Septicemia"	"GR113-010"	285	98585656	0.3
	"2004"	"2004"	"Non-Injury: Viral hepatitis"	"GR113-015"	13	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	220	98585656	0.2
	"2004"	"2004"	"Non-Injury: Malaria"	"GR113-017"	1	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	207	98585656	0.2
	"2004"	"2004"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	3127	98585656	3.2
	"2004"	"2004"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	247	98585656	0.3
	"2004"	"2004"	"Non-Injury: Anemias"	"GR113-045"	207	98585656	0.2
	"2004"	"2004"	"Non-Injury: Diabetes mellitus"	"GR113-046"	206	98585656	0.2
	"2004"	"2004"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	11	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Meningitis"	"GR113-050"	76	98585656	0.1
	"2004"	"2004"	"Non-Injury: Parkinsons disease"	"GR113-051"	2	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Alzheimers disease"	"GR113-052"	1	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1470	98585656	1.5
	"2004"	"2004"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	23	98585656	0.0
	"2004"	"2004"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	329	98585656	0.3
	"2004"	"2004"	"Non-Injury: Atherosclerosis"	"GR113-071"	3	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	78	98585656	0.1
	"2004"	"2004"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	42	98585656	0.0
	"2004"	"2004"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	386	98585656	0.4
	"2004"	"2004"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	21	98585656	0.0
	"2004"	"2004"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	347	98585656	0.4
	"2004"	"2004"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	1	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	59	98585656	0.1
	"2004"	"2004"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	290	98585656	0.3
	"2004"	"2004"	"Non-Injury: Peptic ulcer"	"GR113-090"	15	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Diseases of appendix"	"GR113-091"	25	98585656	0.0
	"2004"	"2004"	"Non-Injury: Hernia"	"GR113-092"	17	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	21	98585656	0.0
	"2004"	"2004"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	8	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	122	98585656	0.1
	"2004"	"2004"	"Non-Injury: Infections of kidney"	"GR113-102"	8	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	2	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	14	98585656	Unreliable
	"2004"	"2004"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	156	98585656	0.2
	"2004"	"2004"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	109	98585656	0.1
	"2004"	"2004"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	1441	98585656	1.5
	"2004"	"2004"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	967	98585656	1.0
	"2004"	"2004"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	3460	98585656	3.5
	"2004"	"2004"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	86	98585656	0.1
"Total"	"2004"	"2004"			45040	98585656	45.7
	"2005"	"2005"	"Cut/Pierce"	"GRINJ-001"	609	98960822	0.6
	"2005"	"2005"	"Drowning"	"GRINJ-002"	1494	98960822	1.5
	"2005"	"2005"	"Fall"	"GRINJ-003"	430	98960822	0.4
	"2005"	"2005"	"Fire/Flame"	"GRINJ-004"	689	98960822	0.7
	"2005"	"2005"	"Hot object/Substance"	"GRINJ-005"	13	98960822	Unreliable
	"2005"	"2005"	"Firearm"	"GRINJ-006"	7218	98960822	7.3
	"2005"	"2005"	"Machinery"	"GRINJ-007"	85	98960822	0.1
	"2005"	"2005"	"Motor Vehicle Traffic"	"GRINJ-008"	12469	98960822	12.6
	"2005"	"2005"	"Other Pedal cyclist"	"GRINJ-009"	39	98960822	0.0
	"2005"	"2005"	"Other Pedestrian"	"GRINJ-010"	300	98960822	0.3
	"2005"	"2005"	"Other land transport"	"GRINJ-011"	474	98960822	0.5
	"2005"	"2005"	"Other transport"	"GRINJ-012"	182	98960822	0.2
	"2005"	"2005"	"Natural/Environmental"	"GRINJ-013"	158	98960822	0.2
	"2005"	"2005"	"Overexertion"	"GRINJ-014"	1	98960822	Unreliable
	"2005"	"2005"	"Poisoning"	"GRINJ-015"	3284	98960822	3.3
	"2005"	"2005"	"Struck by or against"	"GRINJ-016"	178	98960822	0.2
	"2005"	"2005"	"Suffocation"	"GRINJ-017"	2349	98960822	2.4
	"2005"	"2005"	"Other specified, classifiable Injury"	"GRINJ-018"	322	98960822	0.3
	"2005"	"2005"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	225	98960822	0.2
	"2005"	"2005"	"Unspecified Injury"	"GRINJ-020"	683	98960822	0.7
	"2005"	"2005"	"Non-Injury: Intestinal infections"	"GR113 001-003"	29	98960822	0.0
	"2005"	"2005"	"Non-Injury: Tuberculosis"	"GR113 005-006"	22	98960822	0.0
	"2005"	"2005"	"Non-Injury: Whooping cough"	"GR113-007"	1	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	1	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Meningococcal infection"	"GR113-009"	47	98960822	0.0
	"2005"	"2005"	"Non-Injury: Septicemia"	"GR113-010"	314	98960822	0.3
	"2005"	"2005"	"Non-Injury: Syphilis"	"GR113-011"	1	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	2	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Measles"	"GR113-014"	1	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Viral hepatitis"	"GR113-015"	15	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	174	98960822	0.2
	"2005"	"2005"	"Non-Injury: Malaria"	"GR113-017"	2	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	213	98960822	0.2
	"2005"	"2005"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	3094	98960822	3.1
	"2005"	"2005"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	221	98960822	0.2
	"2005"	"2005"	"Non-Injury: Anemias"	"GR113-045"	152	98960822	0.2
	"2005"	"2005"	"Non-Injury: Diabetes mellitus"	"GR113-046"	242	98960822	0.2
	"2005"	"2005"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	10	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Meningitis"	"GR113-050"	86	98960822	0.1
	"2005"	"2005"	"Non-Injury: Parkinsons disease"	"GR113-051"	3	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1522	98960822	1.5
	"2005"	"2005"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	25	98960822	0.0
	"2005"	"2005"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	353	98960822	0.4
	"2005"	"2005"	"Non-Injury: Atherosclerosis"	"GR113-071"	3	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	72	98960822	0.1
	"2005"	"2005"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	47	98960822	0.0
	"2005"	"2005"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	388	98960822	0.4
	"2005"	"2005"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	24	98960822	0.0
	"2005"	"2005"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	308	98960822	0.3
	"2005"	"2005"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	2	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	64	98960822	0.1
	"2005"	"2005"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	265	98960822	0.3
	"2005"	"2005"	"Non-Injury: Peptic ulcer"	"GR113-090"	10	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Diseases of appendix"	"GR113-091"	25	98960822	0.0
	"2005"	"2005"	"Non-Injury: Hernia"	"GR113-092"	8	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	26	98960822	0.0
	"2005"	"2005"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	12	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	130	98960822	0.1
	"2005"	"2005"	"Non-Injury: Infections of kidney"	"GR113-102"	15	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	1	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	6	98960822	Unreliable
	"2005"	"2005"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	177	98960822	0.2
	"2005"	"2005"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	102	98960822	0.1
	"2005"	"2005"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	1422	98960822	1.4
	"2005"	"2005"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	1163	98960822	1.2
	"2005"	"2005"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	3529	98960822	3.6
	"2005"	"2005"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	61	98960822	0.1
"Total"	"2005"	"2005"			45592	98960822	46.1
	"2006"	"2006"	"Cut/Pierce"	"GRINJ-001"	559	99318815	0.6
	"2006"	"2006"	"Drowning"	"GRINJ-002"	1440	99318815	1.4
	"2006"	"2006"	"Fall"	"GRINJ-003"	462	99318815	0.5
	"2006"	"2006"	"Fire/Flame"	"GRINJ-004"	646	99318815	0.7
	"2006"	"2006"	"Hot object/Substance"	"GRINJ-005"	9	99318815	Unreliable
	"2006"	"2006"	"Firearm"	"GRINJ-006"	7558	99318815	7.6
	"2006"	"2006"	"Machinery"	"GRINJ-007"	91	99318815	0.1
	"2006"	"2006"	"Motor Vehicle Traffic"	"GRINJ-008"	12428	99318815	12.5
	"2006"	"2006"	"Other Pedal cyclist"	"GRINJ-009"	46	99318815	0.0
	"2006"	"2006"	"Other Pedestrian"	"GRINJ-010"	289	99318815	0.3
	"2006"	"2006"	"Other land transport"	"GRINJ-011"	457	99318815	0.5
	"2006"	"2006"	"Other transport"	"GRINJ-012"	220	99318815	0.2
	"2006"	"2006"	"Natural/Environmental"	"GRINJ-013"	133	99318815	0.1
	"2006"	"2006"	"Poisoning"	"GRINJ-015"	3819	99318815	3.8
	"2006"	"2006"	"Struck by or against"	"GRINJ-016"	167	99318815	0.2
	"2006"	"2006"	"Suffocation"	"GRINJ-017"	2263	99318815	2.3
	"2006"	"2006"	"Other specified, classifiable Injury"	"GRINJ-018"	340	99318815	0.3
	"2006"	"2006"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	244	99318815	0.2
	"2006"	"2006"	"Unspecified Injury"	"GRINJ-020"	619	99318815	0.6
	"2006"	"2006"	"Non-Injury: Intestinal infections"	"GR113 001-003"	28	99318815	0.0
	"2006"	"2006"	"Non-Injury: Tuberculosis"	"GR113 005-006"	9	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	1	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Meningococcal infection"	"GR113-009"	43	99318815	0.0
	"2006"	"2006"	"Non-Injury: Septicemia"	"GR113-010"	311	99318815	0.3
	"2006"	"2006"	"Non-Injury: Syphilis"	"GR113-011"	2	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	2	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Viral hepatitis"	"GR113-015"	12	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	221	99318815	0.2
	"2006"	"2006"	"Non-Injury: Malaria"	"GR113-017"	1	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	218	99318815	0.2
	"2006"	"2006"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	2928	99318815	2.9
	"2006"	"2006"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	236	99318815	0.2
	"2006"	"2006"	"Non-Injury: Anemias"	"GR113-045"	153	99318815	0.2
	"2006"	"2006"	"Non-Injury: Diabetes mellitus"	"GR113-046"	200	99318815	0.2
	"2006"	"2006"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	12	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Meningitis"	"GR113-050"	60	99318815	0.1
	"2006"	"2006"	"Non-Injury: Parkinsons disease"	"GR113-051"	3	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1490	99318815	1.5
	"2006"	"2006"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	25	99318815	0.0
	"2006"	"2006"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	359	99318815	0.4
	"2006"	"2006"	"Non-Injury: Atherosclerosis"	"GR113-071"	2	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	81	99318815	0.1
	"2006"	"2006"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	54	99318815	0.1
	"2006"	"2006"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	377	99318815	0.4
	"2006"	"2006"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	21	99318815	0.0
	"2006"	"2006"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	309	99318815	0.3
	"2006"	"2006"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	2	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	52	99318815	0.1
	"2006"	"2006"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	270	99318815	0.3
	"2006"	"2006"	"Non-Injury: Peptic ulcer"	"GR113-090"	9	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Diseases of appendix"	"GR113-091"	22	99318815	0.0
	"2006"	"2006"	"Non-Injury: Hernia"	"GR113-092"	12	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	29	99318815	0.0
	"2006"	"2006"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	10	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	131	99318815	0.1
	"2006"	"2006"	"Non-Injury: Infections of kidney"	"GR113-102"	7	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	2	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	6	99318815	Unreliable
	"2006"	"2006"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	175	99318815	0.2
	"2006"	"2006"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	103	99318815	0.1
	"2006"	"2006"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	1319	99318815	1.3
	"2006"	"2006"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	1024	99318815	1.0
	"2006"	"2006"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	3460	99318815	3.5
	"2006"	"2006"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	86	99318815	0.1
"Total"	"2006"	"2006"			45667	99318815	46.0
	"2007"	"2007"	"Cut/Pierce"	"GRINJ-001"	539	99679433	0.5
	"2007"	"2007"	"Drowning"	"GRINJ-002"	1418	99679433	1.4
	"2007"	"2007"	"Fall"	"GRINJ-003"	424	99679433	0.4
	"2007"	"2007"	"Fire/Flame"	"GRINJ-004"	677	99679433	0.7
	"2007"	"2007"	"Hot object/Substance"	"GRINJ-005"	10	99679433	Unreliable
	"2007"	"2007"	"Firearm"	"GRINJ-006"	7284	99679433	7.3
	"2007"	"2007"	"Machinery"	"GRINJ-007"	74	99679433	0.1
	"2007"	"2007"	"Motor Vehicle Traffic"	"GRINJ-008"	11852	99679433	11.9
	"2007"	"2007"	"Other Pedal cyclist"	"GRINJ-009"	40	99679433	0.0
	"2007"	"2007"	"Other Pedestrian"	"GRINJ-010"	312	99679433	0.3
	"2007"	"2007"	"Other land transport"	"GRINJ-011"	494	99679433	0.5
	"2007"	"2007"	"Other transport"	"GRINJ-012"	171	99679433	0.2
	"2007"	"2007"	"Natural/Environmental"	"GRINJ-013"	146	99679433	0.1
	"2007"	"2007"	"Poisoning"	"GRINJ-015"	4066	99679433	4.1
	"2007"	"2007"	"Struck by or against"	"GRINJ-016"	162	99679433	0.2
	"2007"	"2007"	"Suffocation"	"GRINJ-017"	2243	99679433	2.3
	"2007"	"2007"	"Other specified, classifiable Injury"	"GRINJ-018"	346	99679433	0.3
	"2007"	"2007"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	230	99679433	0.2
	"2007"	"2007"	"Unspecified Injury"	"GRINJ-020"	588	99679433	0.6
	"2007"	"2007"	"Non-Injury: Intestinal infections"	"GR113 001-003"	28	99679433	0.0
	"2007"	"2007"	"Non-Injury: Tuberculosis"	"GR113 005-006"	7	99679433	Unreliable
	"2007"	"2007"	"Non-Injury: Meningococcal infection"	"GR113-009"	37	99679433	0.0
	"2007"	"2007"	"Non-Injury: Septicemia"	"GR113-010"	312	99679433	0.3
	"2007"	"2007"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	1	99679433	Unreliable
	"2007"	"2007"	"Non-Injury: Viral hepatitis"	"GR113-015"	15	99679433	Unreliable
	"2007"	"2007"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	174	99679433	0.2
	"2007"	"2007"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	211	99679433	0.2
	"2007"	"2007"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	2976	99679433	3.0
	"2007"	"2007"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	224	99679433	0.2
	"2007"	"2007"	"Non-Injury: Anemias"	"GR113-045"	139	99679433	0.1
	"2007"	"2007"	"Non-Injury: Diabetes mellitus"	"GR113-046"	194	99679433	0.2
	"2007"	"2007"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	12	99679433	Unreliable
	"2007"	"2007"	"Non-Injury: Meningitis"	"GR113-050"	76	99679433	0.1
	"2007"	"2007"	"Non-Injury: Parkinsons disease"	"GR113-051"	2	99679433	Unreliable
	"2007"	"2007"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1498	99679433	1.5
	"2007"	"2007"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	24	99679433	0.0
	"2007"	"2007"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	330	99679433	0.3
	"2007"	"2007"	"Non-Injury: Atherosclerosis"	"GR113-071"	2	99679433	Unreliable
	"2007"	"2007"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	83	99679433	0.1
	"2007"	"2007"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	49	99679433	0.0
	"2007"	"2007"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	375	99679433	0.4
	"2007"	"2007"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	22	99679433	0.0
	"2007"	"2007"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	324	99679433	0.3
	"2007"	"2007"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	71	99679433	0.1
	"2007"	"2007"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	318	99679433	0.3
	"2007"	"2007"	"Non-Injury: Peptic ulcer"	"GR113-090"	8	99679433	Unreliable
	"2007"	"2007"	"Non-Injury: Diseases of appendix"	"GR113-091"	28	99679433	0.0
	"2007"	"2007"	"Non-Injury: Hernia"	"GR113-092"	9	99679433	Unreliable
	"2007"	"2007"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	34	99679433	0.0
	"2007"	"2007"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	10	99679433	Unreliable
	"2007"	"2007"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	132	99679433	0.1
