"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"2002"	"2002"	"15-24 years"	"15-24"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	1853	40854135	4.5
	"2002"	"2002"	"15-24 years"	"15-24"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	35	40854135	0.1
"Total"	"2002"	"2002"	"15-24 years"	"15-24"			33046	40854135	80.9
"Total"	"2002"	"2002"					45054	97465704	46.2
	"2003"	"2003"	"1-4 years"	"1-4"	"Cut/Pierce"	"GRINJ-001"	15	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Drowning"	"GRINJ-002"	470	15616575	3.0
	"2003"	"2003"	"1-4 years"	"1-4"	"Fall"	"GRINJ-003"	58	15616575	0.4
	"2003"	"2003"	"1-4 years"	"1-4"	"Fire/Flame"	"GRINJ-004"	245	15616575	1.6
	"2003"	"2003"	"1-4 years"	"1-4"	"Hot object/Substance"	"GRINJ-005"	6	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Firearm"	"GRINJ-006"	48	15616575	0.3
	"2003"	"2003"	"1-4 years"	"1-4"	"Machinery"	"GRINJ-007"	8	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Motor Vehicle Traffic"	"GRINJ-008"	502	15616575	3.2
	"2003"	"2003"	"1-4 years"	"1-4"	"Other Pedal cyclist"	"GRINJ-009"	1	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Other Pedestrian"	"GRINJ-010"	116	15616575	0.7
	"2003"	"2003"	"1-4 years"	"1-4"	"Other land transport"	"GRINJ-011"	20	15616575	0.1
	"2003"	"2003"	"1-4 years"	"1-4"	"Other transport"	"GRINJ-012"	9	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Natural/Environmental"	"GRINJ-013"	39	15616575	0.2
	"2003"	"2003"	"1-4 years"	"1-4"	"Poisoning"	"GRINJ-015"	63	15616575	0.4
	"2003"	"2003"	"1-4 years"	"1-4"	"Struck by or against"	"GRINJ-016"	21	15616575	0.1
	"2003"	"2003"	"1-4 years"	"1-4"	"Suffocation"	"GRINJ-017"	177	15616575	1.1
	"2003"	"2003"	"1-4 years"	"1-4"	"Other specified, classifiable Injury"	"GRINJ-018"	101	15616575	0.6
	"2003"	"2003"	"1-4 years"	"1-4"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	35	15616575	0.2
	"2003"	"2003"	"1-4 years"	"1-4"	"Unspecified Injury"	"GRINJ-020"	190	15616575	1.2
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Intestinal infections"	"GR113 001-003"	4	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Tuberculosis"	"GR113 005-006"	1	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Whooping cough"	"GR113-007"	1	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Meningococcal infection"	"GR113-009"	18	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Septicemia"	"GR113-010"	85	15616575	0.5
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Measles"	"GR113-014"	1	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	2	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	85	15616575	0.5
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	392	15616575	2.5
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	51	15616575	0.3
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Anemias"	"GR113-045"	24	15616575	0.2
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Diabetes mellitus"	"GR113-046"	8	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	2	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Meningitis"	"GR113-050"	24	15616575	0.2
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	186	15616575	1.2
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	2	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	46	15616575	0.3
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	4	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	163	15616575	1.0
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	28	15616575	0.2
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	55	15616575	0.4
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	10	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	86	15616575	0.6
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Peptic ulcer"	"GR113-090"	1	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Diseases of appendix"	"GR113-091"	5	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Hernia"	"GR113-092"	6	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	14	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Infections of kidney"	"GR113-102"	2	15616575	Unreliable
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	79	15616575	0.5
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	541	15616575	3.5
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	256	15616575	1.6
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	635	15616575	4.1
	"2003"	"2003"	"1-4 years"	"1-4"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	24	15616575	0.2
"Total"	"2003"	"2003"	"1-4 years"	"1-4"			4965	15616575	31.8
	"2003"	"2003"	"5-14 years"	"5-14"	"Cut/Pierce"	"GRINJ-001"	31	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Drowning"	"GRINJ-002"	280	41036204	0.7
	"2003"	"2003"	"5-14 years"	"5-14"	"Fall"	"GRINJ-003"	50	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Fire/Flame"	"GRINJ-004"	234	41036204	0.6
	"2003"	"2003"	"5-14 years"	"5-14"	"Hot object/Substance"	"GRINJ-005"	1	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Firearm"	"GRINJ-006"	324	41036204	0.8
	"2003"	"2003"	"5-14 years"	"5-14"	"Machinery"	"GRINJ-007"	16	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Motor Vehicle Traffic"	"GRINJ-008"	1508	41036204	3.7
	"2003"	"2003"	"5-14 years"	"5-14"	"Other Pedal cyclist"	"GRINJ-009"	15	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Other Pedestrian"	"GRINJ-010"	48	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Other land transport"	"GRINJ-011"	132	41036204	0.3
	"2003"	"2003"	"5-14 years"	"5-14"	"Other transport"	"GRINJ-012"	53	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Natural/Environmental"	"GRINJ-013"	27	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Poisoning"	"GRINJ-015"	87	41036204	0.2
	"2003"	"2003"	"5-14 years"	"5-14"	"Struck by or against"	"GRINJ-016"	28	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	276	41036204	0.7
	"2003"	"2003"	"5-14 years"	"5-14"	"Other specified, classifiable Injury"	"GRINJ-018"	42	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	32	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Unspecified Injury"	"GRINJ-020"	65	41036204	0.2
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Intestinal infections"	"GR113 001-003"	8	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Tuberculosis"	"GR113 005-006"	2	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Meningococcal infection"	"GR113-009"	11	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Septicemia"	"GR113-010"	77	41036204	0.2
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	1	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	36	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	51	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	1076	41036204	2.6
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	79	41036204	0.2
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Anemias"	"GR113-045"	47	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Diabetes mellitus"	"GR113-046"	31	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	2	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Meningitis"	"GR113-050"	17	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Parkinsons disease"	"GR113-051"	1	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	264	41036204	0.6
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	2	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	69	41036204	0.2
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	12	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	4	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	147	41036204	0.4
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	6	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	118	41036204	0.3
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	16	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	60	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Peptic ulcer"	"GR113-090"	3	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Diseases of appendix"	"GR113-091"	11	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Hernia"	"GR113-092"	6	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	1	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	22	41036204	0.1
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Infections of kidney"	"GR113-102"	1	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	1	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	1	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	19	41036204	Unreliable
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	386	41036204	0.9
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	178	41036204	0.4
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	927	41036204	2.3
	"2003"	"2003"	"5-14 years"	"5-14"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	12	41036204	Unreliable
"Total"	"2003"	"2003"	"5-14 years"	"5-14"			6954	41036204	16.9
	"2003"	"2003"	"15-24 years"	"15-24"	"Cut/Pierce"	"GRINJ-001"	510	41388854	1.2
	"2003"	"2003"	"15-24 years"	"15-24"	"Drowning"	"GRINJ-002"	627	41388854	1.5
	"2003"	"2003"	"15-24 years"	"15-24"	"Fall"	"GRINJ-003"	345	41388854	0.8
	"2003"	"2003"	"15-24 years"	"15-24"	"Fire/Flame"	"GRINJ-004"	256	41388854	0.6
	"2003"	"2003"	"15-24 years"	"15-24"	"Hot object/Substance"	"GRINJ-005"	1	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	6846	41388854	16.5
	"2003"	"2003"	"15-24 years"	"15-24"	"Machinery"	"GRINJ-007"	53	41388854	0.1
	"2003"	"2003"	"15-24 years"	"15-24"	"Motor Vehicle Traffic"	"GRINJ-008"	10736	41388854	25.9
	"2003"	"2003"	"15-24 years"	"15-24"	"Other Pedal cyclist"	"GRINJ-009"	21	41388854	0.1
	"2003"	"2003"	"15-24 years"	"15-24"	"Other Pedestrian"	"GRINJ-010"	124	41388854	0.3
	"2003"	"2003"	"15-24 years"	"15-24"	"Other land transport"	"GRINJ-011"	385	41388854	0.9
	"2003"	"2003"	"15-24 years"	"15-24"	"Other transport"	"GRINJ-012"	150	41388854	0.4
	"2003"	"2003"	"15-24 years"	"15-24"	"Natural/Environmental"	"GRINJ-013"	72	41388854	0.2
	"2003"	"2003"	"15-24 years"	"15-24"	"Overexertion"	"GRINJ-014"	2	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	2710	41388854	6.5
	"2003"	"2003"	"15-24 years"	"15-24"	"Struck by or against"	"GRINJ-016"	125	41388854	0.3
	"2003"	"2003"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	1613	41388854	3.9
	"2003"	"2003"	"15-24 years"	"15-24"	"Other specified, classifiable Injury"	"GRINJ-018"	210	41388854	0.5
	"2003"	"2003"	"15-24 years"	"15-24"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	132	41388854	0.3
	"2003"	"2003"	"15-24 years"	"15-24"	"Unspecified Injury"	"GRINJ-020"	367	41388854	0.9
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Intestinal infections"	"GR113 001-003"	4	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Tuberculosis"	"GR113 005-006"	10	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Meningococcal infection"	"GR113-009"	39	41388854	0.1
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Septicemia"	"GR113-010"	154	41388854	0.4
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Viral hepatitis"	"GR113-015"	14	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	178	41388854	0.4
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	88	41388854	0.2
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	1651	41388854	4.0
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	96	41388854	0.2
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Anemias"	"GR113-045"	105	41388854	0.3
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Diabetes mellitus"	"GR113-046"	160	41388854	0.4
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	7	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Meningitis"	"GR113-050"	37	41388854	0.1
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1133	41388854	2.7
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	22	41388854	0.1
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	221	41388854	0.5
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Atherosclerosis"	"GR113-071"	3	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	68	41388854	0.2
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	50	41388854	0.1
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	224	41388854	0.5
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	6	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	191	41388854	0.5
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	1	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	46	41388854	0.1
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	136	41388854	0.3
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Peptic ulcer"	"GR113-090"	7	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Diseases of appendix"	"GR113-091"	11	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Hernia"	"GR113-092"	3	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	16	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	4	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	95	41388854	0.2
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Infections of kidney"	"GR113-102"	10	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	6	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	11	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	105	41388854	0.3
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	16	41388854	Unreliable
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	451	41388854	1.1
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	837	41388854	2.0
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	2023	41388854	4.9
	"2003"	"2003"	"15-24 years"	"15-24"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	44	41388854	0.1
"Total"	"2003"	"2003"	"15-24 years"	"15-24"			33568	41388854	81.1
"Total"	"2003"	"2003"					45487	98041633	46.4
	"2004"	"2004"	"1-4 years"	"1-4"	"Cut/Pierce"	"GRINJ-001"	23	15771627	0.1
	"2004"	"2004"	"1-4 years"	"1-4"	"Drowning"	"GRINJ-002"	451	15771627	2.9
	"2004"	"2004"	"1-4 years"	"1-4"	"Fall"	"GRINJ-003"	49	15771627	0.3
	"2004"	"2004"	"1-4 years"	"1-4"	"Fire/Flame"	"GRINJ-004"	240	15771627	1.5
	"2004"	"2004"	"1-4 years"	"1-4"	"Hot object/Substance"	"GRINJ-005"	6	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Firearm"	"GRINJ-006"	51	15771627	0.3
	"2004"	"2004"	"1-4 years"	"1-4"	"Machinery"	"GRINJ-007"	9	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Motor Vehicle Traffic"	"GRINJ-008"	520	15771627	3.3
	"2004"	"2004"	"1-4 years"	"1-4"	"Other Pedal cyclist"	"GRINJ-009"	4	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Other Pedestrian"	"GRINJ-010"	113	15771627	0.7
	"2004"	"2004"	"1-4 years"	"1-4"	"Other land transport"	"GRINJ-011"	17	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Other transport"	"GRINJ-012"	3	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Natural/Environmental"	"GRINJ-013"	39	15771627	0.2
	"2004"	"2004"	"1-4 years"	"1-4"	"Poisoning"	"GRINJ-015"	37	15771627	0.2
	"2004"	"2004"	"1-4 years"	"1-4"	"Struck by or against"	"GRINJ-016"	21	15771627	0.1
	"2004"	"2004"	"1-4 years"	"1-4"	"Suffocation"	"GRINJ-017"	158	15771627	1.0
	"2004"	"2004"	"1-4 years"	"1-4"	"Other specified, classifiable Injury"	"GRINJ-018"	87	15771627	0.6
	"2004"	"2004"	"1-4 years"	"1-4"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	34	15771627	0.2
	"2004"	"2004"	"1-4 years"	"1-4"	"Unspecified Injury"	"GRINJ-020"	203	15771627	1.3
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Intestinal infections"	"GR113 001-003"	15	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Tuberculosis"	"GR113 005-006"	1	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Meningococcal infection"	"GR113-009"	18	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Septicemia"	"GR113-010"	84	15771627	0.5
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	4	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	65	15771627	0.4
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	399	15771627	2.5
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	53	15771627	0.3
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Anemias"	"GR113-045"	33	15771627	0.2
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Diabetes mellitus"	"GR113-046"	8	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	2	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Meningitis"	"GR113-050"	25	15771627	0.2
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Parkinsons disease"	"GR113-051"	1	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	187	15771627	1.2
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	1	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	41	15771627	0.3
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Atherosclerosis"	"GR113-071"	1	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	4	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	2	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	119	15771627	0.8
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	16	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	48	15771627	0.3
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	9	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	105	15771627	0.7
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Peptic ulcer"	"GR113-090"	3	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Diseases of appendix"	"GR113-091"	4	15771627	Unreliable
	"2004"	"2004"	"1-4 years"	"1-4"	"Non-Injury: Hernia"	"GR113-092"	4	15771627	Unreliable
